CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35
711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45
711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33
708953883,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,36
708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,52
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,43
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46
772336458,Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue,50
720997383,Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,36
710299608,Attrited Customer,53,F,2,Unknown,Married,Less than $40K,Blue,33
821797008,Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue,45
708874533,Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,36
712125258,Attrited Customer,46,M,4,High School,Married,$120K +,Blue,30
772390908,Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,48
778867533,Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,40
771809733,Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,53
719211558,Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue,36
718621608,Attrited Customer,54,F,2,High School,Married,Unknown,Blue,44
720272958,Attrited Customer,48,M,2,High School,Married,$120K +,Blue,36
709173108,Attrited Customer,54,F,4,Graduate,Married,Unknown,Blue,40
708330858,Attrited Customer,57,M,3,Graduate,Married,$120K +,Blue,38
709278258,Attrited Customer,54,M,2,Unknown,Married,$40K - $60K,Blue,44
714871683,Attrited Customer,58,M,1,Uneducated,Married,$40K - $60K,Blue,36
708288108,Attrited Customer,43,M,4,Post-Graduate,Unknown,$80K - $120K,Blue,30
717354558,Attrited Customer,57,M,2,Uneducated,Married,$120K +,Blue,40
714639783,Attrited Customer,42,M,3,College,Married,$60K - $80K,Blue,34
778868958,Attrited Customer,42,F,2,Graduate,Married,Less than $40K,Blue,23
710940183,Attrited Customer,49,F,3,Graduate,Married,Less than $40K,Blue,38
709547658,Attrited Customer,39,M,2,Uneducated,Single,$60K - $80K,Blue,36
712159083,Attrited Customer,58,F,4,Unknown,Married,Less than $40K,Blue,46
711791583,Attrited Customer,52,F,1,Graduate,Single,Less than $40K,Blue,40
712315683,Attrited Customer,53,F,2,Uneducated,Single,Less than $40K,Blue,45
789842283,Attrited Customer,54,M,2,Graduate,Married,$60K - $80K,Blue,42
719418933,Attrited Customer,53,M,2,Uneducated,Married,$80K - $120K,Blue,36
781794708,Attrited Customer,35,M,3,Post-Graduate,Unknown,$80K - $120K,Blue,29
714272658,Attrited Customer,43,F,2,Uneducated,Single,Less than $40K,Blue,24
767294658,Attrited Customer,56,M,2,College,Single,$120K +,Blue,50
708241233,Attrited Customer,52,F,3,Post-Graduate,Single,Less than $40K,Blue,47
716223708,Attrited Customer,45,F,3,Uneducated,Single,Unknown,Blue,36
719443683,Attrited Customer,50,M,1,Unknown,Single,$120K +,Blue,39
779610033,Attrited Customer,58,M,1,College,Married,$80K - $120K,Blue,47
709345008,Attrited Customer,53,F,2,Doctorate,Married,Unknown,Blue,39
721417233,Attrited Customer,45,M,2,Graduate,Married,$60K - $80K,Blue,25
769137108,Attrited Customer,43,F,2,Post-Graduate,Married,Less than $40K,Blue,37
717640083,Attrited Customer,59,M,1,High School,Married,$60K - $80K,Blue,36
